,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,O,A3,N1,MS,A4,N1,OB,A3,O,A3,N1,C3,CD,C4,P5,N1,OB,A2,A4,N1
1,CD,O,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD
2,CD,CD,O,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD
3,A3,P3,N1,O,P4,N1,A2,MS,P5,OB,N1,C2,C2,A5,A4,N1,CD,P5,A4,N1
4,AS,N1,OB,AS,O,OB,W6,P4,AS,P5,N1,A3,MS,AS,N1,P3,MS,CD,AS,N1
5,MS,N1,A2,MS,N1,O,P4,M1,MS,N1,C4,A2,M1,MS,N1,P3,A3,M1,MS,N1
6,CD,CD,CD,CD,CD,CD,O,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD
7,A4,N1,A5,P2,N1,A4,N1,O,P4,N1,OB,OB,P3,C2,N1,C3,A5,P5,A5,N1
8,A2,N1,A4,A5,N1,P3,P3,AS,O,A2,N1,CD,CD,O,N1,P2,C2,OB,OB,N1
9,P4,N1,AS,C3,N1,O,W6,P5,O,O,MS,C4,P3,P3,N1,CD,M1,P2,A4,N1
10,C4,OB,N1,P3,C3,N1,P5,P3,CD,N1,O,P5,O,P5,OB,N1,AS,P3,A4,N1
11,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,O,CD,CD,CD,CD,CD,CD,CD,CD
12,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,O,CD,CD,CD,CD,CD,CD,CD
13,A4,A4,N1,P4,CD,N1,MS,P4,OB,AS,N1,P2,P2,O,A4,N1,A4,P4,O,N1
14,A3,N1,A4,O,N1,P4,M1,AS,P5,N1,C2,A4,A4,P4,O,CD,O,A4,AS,N1
15,A2,N1,A2,A2,N1,O,C2,C3,A2,N1,AS,C4,W6,A2,N1,O,A4,A4,A2,N1
16,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,O,CD,CD,CD
17,A5,N1,CD,C2,N1,A2,OB,W6,AS,N1,AS,C4,P3,P4,N1,P5,O,O,P3,N1
18,O,N1,P3,C2,N1,OB,N1,A4,P4,N1,MS,CD,P3,C4,N1,C2,A4,N1,O,N1
19,A2,N1,P5,C2,N1,A5,M1,C3,P2,N1,P2,P2,P2,C2,N1,P2,A5,C4,MS,O
20,O,P2,N1,CD,C3,N1,A2,C4,MS,O,N1,AS,MS,P2,C4,N1,MS,OB,A4,N1
21,CD,O,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD
