,0,1
0,1.0,43280.0
1,2.0,43280.0
2,3.0,43280.0
3,4.0,43280.0
4,5.0,43280.0
5,6.0,43280.0
6,7.0,43280.0
7,8.0,43280.0
8,9.0,43280.0
9,10.0,43280.0
10,11.0,43280.0
11,12.0,43280.0
12,13.0,42770.0
13,14.0,42770.0
14,15.0,42770.0
15,16.0,42770.0
16,17.0,42770.0
17,18.0,42770.0
18,19.0,42640.0
19,20.0,42640.0
20,21.0,42640.0
21,22.0,42640.0
22,23.0,42640.0
23,24.0,42640.0
24,25.0,42250.0
25,26.0,41890.0
26,27.0,41890.0
27,28.0,41890.0
28,29.0,41890.0
29,30.0,41890.0
30,31.0,41890.0
31,32.0,41890.0
32,33.0,41420.0
33,34.0,41420.0
34,35.0,41420.0
35,36.0,41420.0
36,37.0,41420.0
37,38.0,41420.0
38,39.0,41400.0
39,40.0,41400.0
40,41.0,41400.0
41,42.0,40320.0
42,43.0,40230.0
43,44.0,40230.0
44,45.0,40230.0
45,46.0,40230.0
46,47.0,40200.0
47,48.0,40200.0
48,49.0,40200.0
49,50.0,40030.0
50,51.0,40030.0
51,52.0,40030.0
52,53.0,40030.0
53,54.0,40030.0
54,55.0,40030.0
55,56.0,40030.0
56,57.0,40030.0
57,58.0,39900.0
58,59.0,39900.0
59,60.0,39900.0
60,61.0,39900.0
61,62.0,39900.0
62,63.0,39830.0
63,64.0,39830.0
64,65.0,39830.0
65,66.0,39830.0
66,67.0,39830.0
67,68.0,39830.0
68,69.0,39830.0
69,70.0,39830.0
70,71.0,39830.0
71,72.0,39830.0
72,73.0,39830.0
73,74.0,39830.0
74,75.0,39800.0
75,76.0,39800.0
76,77.0,39800.0
77,78.0,39800.0
78,79.0,39800.0
79,80.0,39800.0
80,81.0,39800.0
81,82.0,39800.0
82,83.0,39800.0
83,84.0,39800.0
84,85.0,39800.0
85,86.0,39770.0
86,87.0,39700.0
87,88.0,39700.0
88,89.0,39700.0
89,90.0,39700.0
90,91.0,39700.0
91,92.0,39700.0
92,93.0,39700.0
93,94.0,39700.0
94,95.0,39700.0
95,96.0,39700.0
96,97.0,39670.0
97,98.0,39670.0
98,99.0,39670.0
99,100.0,39670.0
