,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,O,A4,N1,AS,A5,N1,C2,C2,A5,A2,N1,P4,A5,P3,CD,N1,P5,OB,OB,N1
1,CD,O,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD
2,CD,CD,O,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD
3,P5,C2,N1,O,MS,N1,C2,A5,C3,P5,N1,A2,MS,A4,P3,N1,A5,CD,AS,N1
4,MS,N1,OB,MS,O,N1,C4,N1,MS,A4,N1,C3,A4,MS,N1,P5,M1,A3,MS,N1
5,A3,P2,N1,A3,N1,O,MS,M1,A3,A2,N1,A4,M1,A3,P3,N1,A5,M1,A3,N1
6,CD,CD,CD,CD,CD,CD,O,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD
7,P2,AS,N1,OB,P2,N1,P2,O,C4,P5,N1,C3,O,C2,A2,N1,A2,P3,CD,N1
8,P4,AS,N1,CD,C4,N1,A5,C3,O,A4,N1,OB,MS,A3,P3,N1,C3,CD,C4,N1
9,A4,C3,N1,P5,C3,N1,O,AS,P4,O,N1,P2,P4,P2,OB,N1,P2,A3,P4,N1
10,AS,A2,N1,AS,C2,N1,P4,C3,A5,N1,O,C4,C4,O,C4,N1,AS,C3,A4,N1
11,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,O,CD,CD,CD,CD,CD,CD,CD,CD
12,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,O,CD,CD,CD,CD,CD,CD,CD
13,CD,A2,N1,CD,P5,N1,CD,A5,A2,AS,N1,A2,MS,O,CD,N1,A3,A4,C3,N1
14,AS,N1,A3,AS,N1,CD,M1,CD,AS,N1,A3,N1,CD,AS,O,OB,P4,P4,AS,N1
15,A4,N1,A3,A4,N1,O,OB,N1,A4,N1,O,A5,N1,A4,N1,O,P5,N1,A4,N1
16,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,O,CD,CD,CD
17,A4,N1,P3,AS,N1,P4,W6,A5,C4,N1,P2,P4,A3,P3,N1,C4,OB,O,C2,N1
18,C2,N1,P4,A3,N1,CD,OB,P4,A3,N1,A4,P3,C4,A3,N1,P2,P2,A4,O,N1
19,A4,N1,P2,P4,N1,P5,A5,M1,P5,N1,O,C3,M1,P5,N1,OB,AS,C4,C2,O
20,O,P3,N1,P2,A4,N1,P5,OB,C4,P5,N1,OB,P4,P2,A3,N1,C2,C3,P4,N1
21,CD,O,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD
22,CD,CD,O,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD
23,C3,P2,N1,O,OB,N1,O,OB,C3,A3,N1,A3,MS,MS,A5,N1,A5,C3,A4,N1
24,A5,N1,C2,A5,O,CD,A3,P3,A5,N1,C3,P2,P4,A5,N1,CD,A2,P3,A5,N1
25,A2,N1,C4,A2,N1,O,P3,W6,A2,N1,P3,P3,W6,A2,N1,MS,A4,W6,A2,N1
26,CD,CD,CD,CD,CD,CD,O,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD
27,A4,N1,CD,OB,N1,OB,N1,O,OB,N1,C3,P3,C4,CD,N1,OB,C4,P4,P4,N1
28,C4,N1,P4,A3,N1,A4,W6,OB,O,N1,CD,P3,C4,P4,N1,A5,A2,M1,C3,N1
29,N1,P2,O,C3,N1,C3,N1,A3,W6,O,A4,A4,A3,A2,N1,OB,C3,A4,MS,N1
